# Metrics for node-exporter
# Job: node-exporter
# Category: monitoring
# Exported at: 2025-07-02T11:09:54.004769
# Total metrics: 2478
# Unique metric types: 317

## go_gc_duration_seconds
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="system"} 94.03
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="user"} 265.2
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5436.5
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 3.93
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 6.28
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="system"} 92.36
node_cpu_seconds_total{cpu="7",instance="node-exporter:9100",job="node-exporter",mode="user"} 260.5
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5438.01
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 4.08
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 5.52
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="system"} 92.29
node_cpu_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="user"} 259.2
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5435
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 4.16
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 4.86
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="system"} 92.73
node_cpu_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="user"} 261.5

## node_disk_discard_time_seconds_total
node_disk_discard_time_seconds_total{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd2",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd3",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd4",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd5",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd6",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd7",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd8",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="nbd9",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discard_time_seconds_total{device="vda",instance="node-exporter:9100",job="node-exporter"} 2.219
node_disk_discard_time_seconds_total{device="vdb",instance="node-exporter:9100",job="node-exporter"} 0

## node_disk_discarded_sectors_total
node_disk_discarded_sectors_total{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd2",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd3",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd4",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd5",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd6",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd7",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd8",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="nbd9",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discarded_sectors_total{device="vda",instance="node-exporter:9100",job="node-exporter"} 2092591600
node_disk_discarded_sectors_total{device="vdb",instance="node-exporter:9100",job="node-exporter"} 0

## node_disk_discards_completed_total
node_disk_discards_completed_total{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd1",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd10",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd11",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd12",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd13",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd14",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd15",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd2",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd3",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd4",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd5",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd6",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd7",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd8",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="nbd9",instance="node-exporter:9100",job="node-exporter"} 0
node_disk_discards_completed_total{device="vda",instance="node-exporter:9100",job="node-exporter"} 24128
node_disk_discards_completed_total{device="vdb",instance="node-exporter:9100",job="node-exporter"} 0

## node_disk_discards_merged_total
node_disk_discards_merged_total{device="nbd0",instance="node-exporter:9100",job="node-exporter"} 0
