# Metrics for banking-db-demo
# Job: banking-db-demo
# Category: database
# Exported at: 2025-07-02T11:09:53.994684
# Total metrics: 121
# Unique metric types: 36

## banking_db_connection_acquisition_duration_seconds_bucket
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="7.5",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="10.0",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="+Inf",method="GET",path="/health",status="200"} 1

## db_connection_demo_http_request_duration_seconds_count
db_connection_demo_http_request_duration_seconds_count{instance="banking-db-connection-demo:5006",job="banking-db-demo",method="GET",path="/health",status="200"} 1

## db_connection_demo_http_request_duration_seconds_created
db_connection_demo_http_request_duration_seconds_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",method="GET",path="/health",status="200"} 1751429199.7823808

## db_connection_demo_http_request_duration_seconds_sum
db_connection_demo_http_request_duration_seconds_sum{instance="banking-db-connection-demo:5006",job="banking-db-demo",method="GET",path="/health",status="200"} 0.0012609999999995125

## db_connection_demo_http_request_total
db_connection_demo_http_request_total{instance="banking-db-connection-demo:5006",job="banking-db-demo",method="GET",status="200"} 1

## process_cpu_seconds_total
process_cpu_seconds_total{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 18.42

## process_max_fds
process_max_fds{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 1048576

## process_open_fds
process_open_fds{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 11

## process_resident_memory_bytes
process_resident_memory_bytes{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 35360768

## process_start_time_seconds
process_start_time_seconds{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 1751429114.18

## process_virtual_memory_bytes
process_virtual_memory_bytes{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 276148224

## python_gc_collections_total
python_gc_collections_total{generation="0",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 107
python_gc_collections_total{generation="1",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 9
python_gc_collections_total{generation="2",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0

## python_gc_objects_collected_total
python_gc_objects_collected_total{generation="0",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 7688
python_gc_objects_collected_total{generation="1",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 869
python_gc_objects_collected_total{generation="2",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0

## python_gc_objects_uncollectable_total
python_gc_objects_uncollectable_total{generation="0",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0
python_gc_objects_uncollectable_total{generation="1",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0
python_gc_objects_uncollectable_total{generation="2",instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0

## python_info
python_info{implementation="CPython",instance="banking-db-connection-demo:5006",job="banking-db-demo",major="3",minor="9",patchlevel="23",version="3.9.23"} 1

## scrape_duration_seconds
scrape_duration_seconds{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0.016755417

## scrape_samples_post_metric_relabeling
scrape_samples_post_metric_relabeling{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 116

## scrape_samples_scraped
scrape_samples_scraped{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 116

## scrape_series_added
scrape_series_added{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 0

## up
up{instance="banking-db-connection-demo:5006",job="banking-db-demo"} 1

