# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
redis_commands_total{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 581
redis_commands_total{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 951
redis_commands_total{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_total{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_total{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_total{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_total{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 950
redis_commands_total{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 3277
redis_commands_total{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 1143
redis_commands_total{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 45

## redis_config_client_output_buffer_limit_bytes
redis_config_client_output_buffer_limit_bytes{class="normal",instance="banking-redis-exporter:9121",job="redis-exporter",limit="hard"} 0
redis_config_client_output_buffer_limit_bytes{class="normal",instance="banking-redis-exporter:9121",job="redis-exporter",limit="soft"} 0
redis_config_client_output_buffer_limit_bytes{class="pubsub",instance="banking-redis-exporter:9121",job="redis-exporter",limit="hard"} 33554432
redis_config_client_output_buffer_limit_bytes{class="pubsub",instance="banking-redis-exporter:9121",job="redis-exporter",limit="soft"} 8388608
redis_config_client_output_buffer_limit_bytes{class="slave",instance="banking-redis-exporter:9121",job="redis-exporter",limit="hard"} 268435456
redis_config_client_output_buffer_limit_bytes{class="slave",instance="banking-redis-exporter:9121",job="redis-exporter",limit="soft"} 67108864

## redis_config_client_output_buffer_limit_overcome_seconds
redis_config_client_output_buffer_limit_overcome_seconds{class="normal",instance="banking-redis-exporter:9121",job="redis-exporter",limit="soft"} 0
redis_config_client_output_buffer_limit_overcome_seconds{class="pubsub",instance="banking-redis-exporter:9121",job="redis-exporter",limit="soft"} 60
redis_config_client_output_buffer_limit_overcome_seconds{class="slave",instance="banking-redis-exporter:9121",job="redis-exporter",limit="soft"} 60

## redis_config_io_threads
redis_config_io_threads{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_config_maxclients
redis_config_maxclients{instance="banking-redis-exporter:9121",job="redis-exporter"} 10000

## redis_config_maxmemory
redis_config_maxmemory{instance="banking-redis-exporter:9121",job="redis-exporter"} 1073741824

## redis_configured_hz
redis_configured_hz{instance="banking-redis-exporter:9121",job="redis-exporter"} 10

## redis_connected_clients
redis_connected_clients{instance="banking-redis-exporter:9121",job="redis-exporter"} 3

## redis_connected_slaves
redis_connected_slaves{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_connections_received_total
redis_connections_received_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 963

## redis_cpu_sys_children_seconds_total
redis_cpu_sys_children_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.001845

## redis_cpu_sys_main_thread_seconds_total
redis_cpu_sys_main_thread_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 5.14357

## redis_cpu_sys_seconds_total
redis_cpu_sys_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 5.14602

## redis_cpu_user_children_seconds_total
redis_cpu_user_children_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.001113

## redis_cpu_user_main_thread_seconds_total
redis_cpu_user_main_thread_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 35.391178

## redis_cpu_user_seconds_total
redis_cpu_user_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 35.39481

## redis_current_eviction_exceeded_time_ms
redis_current_eviction_exceeded_time_ms{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_db_keys
redis_db_keys{db="db0",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db1",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db10",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db11",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db12",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db13",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db14",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db15",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db2",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db3",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db4",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db5",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db6",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db7",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db8",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys{db="db9",instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_db_keys_expiring
redis_db_keys_expiring{db="db0",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db1",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db10",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db11",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db12",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db13",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db14",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db15",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db2",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db3",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db4",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db5",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db6",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db7",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db8",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_db_keys_expiring{db="db9",instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_defrag_hits
redis_defrag_hits{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_defrag_key_hits
redis_defrag_key_hits{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_defrag_key_misses
redis_defrag_key_misses{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_defrag_misses
redis_defrag_misses{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_dump_payload_sanitizations
redis_dump_payload_sanitizations{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_evicted_clients_total
redis_evicted_clients_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_evicted_keys_total
redis_evicted_keys_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_evicted_scripts_total
redis_evicted_scripts_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_eviction_exceeded_time_ms_total
redis_eviction_exceeded_time_ms_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_expire_cycle_cpu_time_ms_total
redis_expire_cycle_cpu_time_ms_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 313

## redis_expired_keys_total
redis_expired_keys_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 45

## redis_expired_stale_percentage
redis_expired_stale_percentage{instance="banking-redis-exporter:9121",job="redis-exporter"} 2.99

## redis_expired_subkeys_total
redis_expired_subkeys_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_expired_time_cap_reached_total
redis_expired_time_cap_reached_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_exporter_build_info
redis_exporter_build_info{commit_sha="009602959fd20c5a78de639490745c8bbc7b2e06",golang_version="go1.24.4",instance="banking-redis-exporter:9121",job="redis-exporter",version="v1.74.0"} 1

## redis_exporter_last_scrape_connect_time_seconds
redis_exporter_last_scrape_connect_time_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.011193125

## redis_exporter_last_scrape_duration_seconds
redis_exporter_last_scrape_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.025806458

## redis_exporter_last_scrape_error
redis_exporter_last_scrape_error{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_exporter_scrape_duration_seconds_count
redis_exporter_scrape_duration_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 382

## redis_exporter_scrape_duration_seconds_sum
redis_exporter_scrape_duration_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 5.083345289999995

## redis_exporter_scrapes_total
redis_exporter_scrapes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 382

## redis_hz
redis_hz{instance="banking-redis-exporter:9121",job="redis-exporter"} 10

## redis_instance_info
redis_instance_info{instance="banking-redis-exporter:9121",job="redis-exporter",master_replid="159f1ccc4fccd27f1087e1c1750d1775e85680ee",maxmemory_policy="allkeys-lru",os="Linux 6.10.14-linuxkit aarch64",process_id="1",redis_build_id="b61818b61036ef01",redis_mode="standalone",redis_version="7.4.4",role="master",run_id="3657def1bebf1cfc2a90486c705a1d6c639c4ed3",tcp_port="6379"} 1

## redis_io_threaded_reads_processed
redis_io_threaded_reads_processed{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_io_threaded_writes_processed
redis_io_threaded_writes_processed{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_io_threads_active
redis_io_threads_active{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_keyspace_hits_total
redis_keyspace_hits_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 1098

## redis_keyspace_misses_total
redis_keyspace_misses_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 45

## redis_last_key_groups_scrape_duration_milliseconds
redis_last_key_groups_scrape_duration_milliseconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_last_slow_execution_duration_seconds
redis_last_slow_execution_duration_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.017357

## redis_latency_percentiles_usec
redis_latency_percentiles_usec{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 17.023
redis_latency_percentiles_usec{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 315.391
redis_latency_percentiles_usec{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 720.895
redis_latency_percentiles_usec{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 372.735
redis_latency_percentiles_usec{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 2621.439
redis_latency_percentiles_usec{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 9699.327
redis_latency_percentiles_usec{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 12.031
redis_latency_percentiles_usec{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 203.775
redis_latency_percentiles_usec{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 423.935
redis_latency_percentiles_usec{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 294.911
redis_latency_percentiles_usec{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 2211.839
redis_latency_percentiles_usec{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 6717.439
redis_latency_percentiles_usec{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 235.519
redis_latency_percentiles_usec{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 790.527
redis_latency_percentiles_usec{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 2129.919
redis_latency_percentiles_usec{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 13.055
redis_latency_percentiles_usec{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 221.183
redis_latency_percentiles_usec{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 536.575
redis_latency_percentiles_usec{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 13.055
redis_latency_percentiles_usec{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 108.031
redis_latency_percentiles_usec{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 823.295
redis_latency_percentiles_usec{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 12.031
redis_latency_percentiles_usec{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 92.159
redis_latency_percentiles_usec{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 224.255
redis_latency_percentiles_usec{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 1.003
redis_latency_percentiles_usec{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 75.263
redis_latency_percentiles_usec{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 700.415
redis_latency_percentiles_usec{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 2.007
redis_latency_percentiles_usec{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 96.255
redis_latency_percentiles_usec{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 477.183
redis_latency_percentiles_usec{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 21.119
redis_latency_percentiles_usec{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 411.647
redis_latency_percentiles_usec{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 782.335
redis_latency_percentiles_usec{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="50.0"} 33.023
redis_latency_percentiles_usec{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.0"} 458.751
redis_latency_percentiles_usec{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",quantile="99.9"} 458.751

## redis_latency_percentiles_usec_count
redis_latency_percentiles_usec_count{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
redis_latency_percentiles_usec_count{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
redis_latency_percentiles_usec_count{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 581
redis_latency_percentiles_usec_count{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 951
redis_latency_percentiles_usec_count{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_latency_percentiles_usec_count{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_latency_percentiles_usec_count{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_latency_percentiles_usec_count{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_latency_percentiles_usec_count{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 950
redis_latency_percentiles_usec_count{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 3277
redis_latency_percentiles_usec_count{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 1143
redis_latency_percentiles_usec_count{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 45

## redis_latency_percentiles_usec_sum
redis_latency_percentiles_usec_sum{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 12217
redis_latency_percentiles_usec_sum{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 200611
redis_latency_percentiles_usec_sum{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 13029
redis_latency_percentiles_usec_sum{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 361637
redis_latency_percentiles_usec_sum{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 103762
redis_latency_percentiles_usec_sum{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 8040
redis_latency_percentiles_usec_sum{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 6976
redis_latency_percentiles_usec_sum{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 6236
redis_latency_percentiles_usec_sum{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 8356
redis_latency_percentiles_usec_sum{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 31668
redis_latency_percentiles_usec_sum{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 49340
redis_latency_percentiles_usec_sum{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 2655

## redis_latest_fork_seconds
redis_latest_fork_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_lazyfree_pending_objects
redis_lazyfree_pending_objects{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_lazyfreed_objects
redis_lazyfreed_objects{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_loading_dump_file
redis_loading_dump_file{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_master_repl_offset
redis_master_repl_offset{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_max_clients
redis_max_clients{instance="banking-redis-exporter:9121",job="redis-exporter"} 10000

## redis_mem_aof_buffer_bytes
redis_mem_aof_buffer_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_mem_clients_normal
redis_mem_clients_normal{instance="banking-redis-exporter:9121",job="redis-exporter"} 24328

## redis_mem_clients_slaves
redis_mem_clients_slaves{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_mem_cluster_links_bytes
redis_mem_cluster_links_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_mem_fragmentation_bytes
redis_mem_fragmentation_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 13640928

## redis_mem_fragmentation_ratio
redis_mem_fragmentation_ratio{instance="banking-redis-exporter:9121",job="redis-exporter"} 11.48

## redis_mem_not_counted_for_eviction_bytes
redis_mem_not_counted_for_eviction_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_mem_overhead_db_hashtable_rehashing_bytes
redis_mem_overhead_db_hashtable_rehashing_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_mem_replication_backlog_bytes
redis_mem_replication_backlog_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_mem_total_replication_buffers_bytes
redis_mem_total_replication_buffers_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_memory_max_bytes
redis_memory_max_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1073741824

## redis_memory_used_bytes
redis_memory_used_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1341488

## redis_memory_used_dataset_bytes
redis_memory_used_dataset_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 337456

## redis_memory_used_functions_bytes
redis_memory_used_functions_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 192

## redis_memory_used_lua_bytes
redis_memory_used_lua_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 31744

## redis_memory_used_overhead_bytes
redis_memory_used_overhead_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1004032

## redis_memory_used_peak_bytes
redis_memory_used_peak_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1367264

## redis_memory_used_rss_bytes
redis_memory_used_rss_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 14942208

## redis_memory_used_scripts_bytes
redis_memory_used_scripts_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 192

## redis_memory_used_scripts_eval_bytes
redis_memory_used_scripts_eval_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_memory_used_startup_bytes
redis_memory_used_startup_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 978888

## redis_memory_used_vm_eval_bytes
redis_memory_used_vm_eval_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 31744

## redis_memory_used_vm_functions_bytes
redis_memory_used_vm_functions_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 32768

## redis_memory_used_vm_total
redis_memory_used_vm_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 64512

## redis_migrate_cached_sockets_total
redis_migrate_cached_sockets_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_module_fork_in_progress
redis_module_fork_in_progress{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_module_fork_last_cow_size
redis_module_fork_last_cow_size{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_net_input_bytes_total
redis_net_input_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 480492

## redis_net_output_bytes_total
redis_net_output_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 9829317

## redis_net_repl_input_bytes_total
redis_net_repl_input_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_net_repl_output_bytes_total
redis_net_repl_output_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_number_of_cached_scripts
redis_number_of_cached_scripts{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_number_of_functions
redis_number_of_functions{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_number_of_libraries
redis_number_of_libraries{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_process_id
redis_process_id{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_pubsub_channels
redis_pubsub_channels{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_pubsub_clients
redis_pubsub_clients{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_pubsub_patterns
redis_pubsub_patterns{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_pubsubshard_channels
redis_pubsubshard_channels{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_rdb_bgsave_in_progress
redis_rdb_bgsave_in_progress{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_rdb_changes_since_last_save
redis_rdb_changes_since_last_save{instance="banking-redis-exporter:9121",job="redis-exporter"} 45

## redis_rdb_current_bgsave_duration_sec
redis_rdb_current_bgsave_duration_sec{instance="banking-redis-exporter:9121",job="redis-exporter"} -1

## redis_rdb_last_bgsave_duration_sec
redis_rdb_last_bgsave_duration_sec{instance="banking-redis-exporter:9121",job="redis-exporter"} -1

## redis_rdb_last_bgsave_status
redis_rdb_last_bgsave_status{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_rdb_last_cow_size_bytes
redis_rdb_last_cow_size_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_rdb_last_load_expired_keys
redis_rdb_last_load_expired_keys{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_rdb_last_load_loaded_keys
redis_rdb_last_load_loaded_keys{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_rdb_last_save_timestamp_seconds
redis_rdb_last_save_timestamp_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 1751428973

## redis_rdb_saves_total
redis_rdb_saves_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_rejected_connections_total
redis_rejected_connections_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_repl_backlog_first_byte_offset
redis_repl_backlog_first_byte_offset{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_repl_backlog_history_bytes
redis_repl_backlog_history_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_repl_backlog_is_active
redis_repl_backlog_is_active{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_replica_partial_resync_accepted
redis_replica_partial_resync_accepted{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_replica_partial_resync_denied
redis_replica_partial_resync_denied{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_replica_resyncs_full
redis_replica_resyncs_full{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_replication_backlog_bytes
redis_replication_backlog_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1048576

## redis_reply_buffer_expands_total
redis_reply_buffer_expands_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 920

## redis_reply_buffer_shrinks_total
redis_reply_buffer_shrinks_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 924

## redis_second_repl_offset
redis_second_repl_offset{instance="banking-redis-exporter:9121",job="redis-exporter"} -1

## redis_slave_expires_tracked_keys
redis_slave_expires_tracked_keys{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_slowlog_last_id
redis_slowlog_last_id{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_slowlog_length
redis_slowlog_length{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_start_time_seconds
redis_start_time_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 1751428973

## redis_target_scrape_request_errors_total
redis_target_scrape_request_errors_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_total_blocking_keys
redis_total_blocking_keys{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_total_blocking_keys_on_nokey
redis_total_blocking_keys_on_nokey{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_total_error_replies
redis_total_error_replies{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_total_reads_processed
redis_total_reads_processed{instance="banking-redis-exporter:9121",job="redis-exporter"} 10195

## redis_total_watched_keys
redis_total_watched_keys{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_total_writes_processed
redis_total_writes_processed{instance="banking-redis-exporter:9121",job="redis-exporter"} 9235

## redis_tracking_clients
redis_tracking_clients{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_tracking_total_items
redis_tracking_total_items{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_tracking_total_keys
redis_tracking_total_keys{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_tracking_total_prefixes
redis_tracking_total_prefixes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_unexpected_error_replies
redis_unexpected_error_replies{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_up
