# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
go_info{instance="banking-redis-exporter:9121",job="redis-exporter",version="go1.24.4"} 1

## go_memory_classes_heap_free_bytes
go_memory_classes_heap_free_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1482752

## go_memory_classes_heap_objects_bytes
go_memory_classes_heap_objects_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3914776

## go_memory_classes_heap_released_bytes
go_memory_classes_heap_released_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 4022272

## go_memory_classes_heap_stacks_bytes
go_memory_classes_heap_stacks_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1114112

## go_memory_classes_heap_unused_bytes
go_memory_classes_heap_unused_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 2049000

## go_memory_classes_metadata_mcache_free_bytes
go_memory_classes_metadata_mcache_free_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3624

## go_memory_classes_metadata_mcache_inuse_bytes
go_memory_classes_metadata_mcache_inuse_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 12080

## go_memory_classes_metadata_mspan_free_bytes
go_memory_classes_metadata_mspan_free_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 39680

## go_memory_classes_metadata_mspan_inuse_bytes
go_memory_classes_metadata_mspan_inuse_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 172480

## go_memory_classes_metadata_other_bytes
go_memory_classes_metadata_other_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3019496

## go_memory_classes_os_stacks_bytes
go_memory_classes_os_stacks_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_memory_classes_other_bytes
go_memory_classes_other_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1687193

## go_memory_classes_profiling_buckets_bytes
go_memory_classes_profiling_buckets_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 4215

## go_memory_classes_total_bytes
go_memory_classes_total_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 17521680

## go_memstats_alloc_bytes
go_memstats_alloc_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3914776

## go_memstats_alloc_bytes_total
go_memstats_alloc_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 468570352

## go_memstats_buck_hash_sys_bytes
go_memstats_buck_hash_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 4215

## go_memstats_frees_total
go_memstats_frees_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 3551958

## go_memstats_gc_sys_bytes
go_memstats_gc_sys_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3019496

## go_memstats_heap_alloc_bytes
go_memstats_heap_alloc_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3914776

## go_memstats_heap_idle_bytes
go_memstats_heap_idle_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 5505024

## go_memstats_heap_inuse_bytes
go_memstats_heap_inuse_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 5963776

## go_memstats_heap_objects
go_memstats_heap_objects{instance="banking-redis-exporter:9121",job="redis-exporter"} 10765

## go_memstats_heap_released_bytes
