# Metrics for banking-rabbitmq
# Job: banking-rabbitmq
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024823
# Total metrics: 1883
# Unique metric types: 203

## erlang_mnesia_committed_transactions
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 32768
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 4
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 584
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 32768
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 2
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 128
