# Metrics for banking-rabbitmq
# Job: banking-rabbitmq
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024823
# Total metrics: 1883
# Unique metric types: 203

## erlang_mnesia_committed_transactions
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 32768
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 1
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 64
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 32768
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 1
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 64
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 32768
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 1
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 64
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="std_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 4
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 20447232
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 3894
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 19891592
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 5
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 6029312
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 36088
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 5193712
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 4
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 3932160
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 14042
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 1904088
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 4
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 3932160
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 23419
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 3367784
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 399
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 75280
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 12
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 2304
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 39
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 7728
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 524288
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 1434
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 141776
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs_pool",usage="blocks_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="ll_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 2
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 393216
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 24
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 341912
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 18
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 8781824
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 629
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 7320136
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers"} 0
erlang_vm_allocators{alloc="eheap_alloc",instance="banking-rabbitmq:15692",instance_no="1",job="banking-rabbitmq",kind="mbcs_pool",usage="carriers_size"} 0
